Massachusetts Institute of Technology (MIT),United States
University of Cambridge,United Kingdom
Stanford University,United States
University of Oxford,United Kingdom
Harvard University,United States
California Institute of Technology (Caltech),United States
Imperial College London,United Kingdom
UCL (University College London),United Kingdom
ETH Zurich (Swiss Federal Institute of Technology),Switzerland
University of Chicago,United States
National University of Singapore (NUS),Singapore
Peking University,Mainland China
University of Pennsylvania,United States
Tsinghua University,Mainland China
University of Edinburgh,United Kingdom
Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland
Princeton University,United States
Yale University,United States
Nanyang Technological University,Singapore (NTU),Singapore
Cornell University,United States
University of Hong Kong (UKU),Hong Kong SAR
Columbia University,United States
University of Tokyo,Japan
Johns Hopkins University,United States
University of Michigan-Ann Arbor,United States
Universite PSL,France
University of California,Berkeley (UCB),United States
University of Manchester,United Kingdom
Seoul National University,South Korea
Australian National University,Australia
McGill University,Canada
Northwestern University,United States
University of Melbourne,Australia
Fudan University,Mainland China
University of Toronto,Canada
Kyoto University,Japan
King's College London,United Kingdom
Chinese University of Hong Kong (CUHK),Hong Kong SAR
New York University (NYU),United States
Hong Kong University of Science and Technology (HKUST,Hong Kong SAR
University of Sydney,Australia
KAIST - Korea Advanced Institute of Science & Technology,South Korea
Zhejiang University,Mainland China
University of California,Los Angeles (UCLA),United States
University of New South Wales (UNSW Sydney),Australia
Shanghai Jiao Tong University,Mainland China
University of British Columbia,Canada
Institut Polytechnique de Paris,France
Technical University of Munich,Germany
Duke University,United States
University of Queensland,Australia
Carnegie Mellon University,United States
University of California,San Diego (UCSD),United States
City University of Hong Kong,Hong Kong SAR
Tokyo Institute of Technology,Japan
London School of Economics and Political Science (LSE),United Kingdom
Monash University,Australia
University of Amsterdam,Netherlands
Ludwig-Maximilians-Universität München,Germany
Sorbonne University,France
Delft University of Technology,Netherlands
University of Bristol,United Kingdom
Brown University,United States
University of Warwick,United Kingdom
Ruprecht-Karls-Universitat Heidelberg,Germany
Hong Kong Polytechnic University,Hong Kong SAR
Universidad de Buenos Aires (UBA),Argentina
Osaka University,Japan
Universit Paris-Saclay,France
Universiti Malaya (UM),Malaysia
Pohang University of Science and Technology (POSTECH),South Korea
University of Texas at Austin,United States
Yonsei University,South Korea
Korea University,South Korea
Lomonosov Moscow State University,Russia
KU Leuven,Belgium
National Taiwan University (NTU),Taiwan
University of Southampton,United Kingdom
Tohoku University,Japan
University of Washington,United States
University of Glasgow,United Kingdom
University of Copenhagen,Denmark
University of Wisconsin-Madison,United States
University of Zurich,Switzerland
University of Illinois at Urbana-Champaign,United States
University of Leeds,United Kingdom
University of Auckland,New Zealand
Georgia Institute of Technology,United States
KTH Royal Institute of Technology,Sweden
University of Western Australia,Australia
University of Birmingham,United Kingdom
Durham University,United Kingdom
Pennsylvania State University,United States
University of Science and Technology of China,Mainland China
Lund University,Sweden
University of Sheffield,United Kingdom
University of St Andrews,United Kingdom 
Trinity College Dublin,The University of Dublin,Ireland
Sungkyunkwan University (SKKU),South Korea
Rice University,United States
